channel_1,channel_2
0.9434608,0.33806485
0.97558534,0.28248948
0.8907767,0.32103887
0.9910051,0.27831328
0.8811393,0.2991942
0.9389635,0.30594036
0.9068389,0.27317333
0.8917404,0.2934118
0.92482865,0.25903857
0.8692533,0.2558261
0.9396059,0.2352664
0.8252427,0.2259503
0.9396059,0.18675841
0.8512635,0.2159917
0.86154336,0.196717
0.91230005,0.18354595
0.773201,0.23012649
0.91872495,0.14499652
0.7597087,0.21277925
0.8409837,0.14724524
0.7992218,0.122509375
0.74043393,0.1710174
0.8278126,0.08974237
0.69192594,0.14885147
0.8027555,0.10484089
0.69449586,0.11993941
0.739149,0.091348596
0.720838,0.05729662
0.6755424,0.066933975
0.7250142,0.026778335
0.6427754,0.07239514
0.7166618,0.016819738
0.61996704,0.04798051
0.671045,0.03962814
0.6196458,0.01071608
0.6125784,0.008788609
0.6337806,-0.04775053
0.54318947,-0.049678
0.6058322,-0.097222276
0.48151043,-0.08662119
0.522951,-0.104289666
0.4856866,-0.09561605
0.45709577,-0.08565745
0.48086792,-0.124206856
0.41019398,-0.12741931
0.46287817,-0.18042473
0.3809607,-0.1865284
0.3889918,-0.20740934
0.3658622,-0.2157617
0.31799668,-0.19873571
0.32474282,-0.21801043
0.2833022,-0.21833166
0.2826597,-0.23535766
0.25310516,-0.24146132
0.24507405,-0.2536686
0.21134332,-0.26973087
0.19592355,-0.2806532
0.17375763,-0.27519205
0.14580931,-0.26298475
0.14034814,-0.3012129
0.10308371,-0.29221803
0.10533243,-0.30988652
0.06935297,-0.3304462
0.04943578,-0.3269125
0.033373524,-0.36995935
-0.009994566,-0.35421833
-0.012885772,-0.36835313
-0.04790149,-0.35164836
-0.04886522,-0.37799045
-0.07681355,-0.3988714
-0.07327986,-0.38794905
-0.095767014,-0.44577318
-0.13303144,-0.40465382
-0.11857542,-0.4528406
-0.19535297,-0.44545195
-0.16451345,-0.4322809
-0.21912512,-0.47757643
-0.22555003,-0.46569037
-0.24225476,-0.49171123
-0.3084313,-0.48432258
-0.27534303,-0.5080947
-0.36786166,-0.46922407
-0.31196496,-0.5080947
-0.37075284,-0.5019911
-0.35308436,-0.48175263
-0.37139535,-0.525442
-0.42311582,-0.48335886
-0.36593416,-0.5405405
-0.48897102,-0.5199808
-0.38039017,-0.5479291
-0.4880073,-0.54150426
-0.47033882,-0.5154834
-0.45620403,-0.55306906
-0.5464739,-0.507131
-0.4401418,-0.5421467
-0.5692823,-0.51676834
-0.4835099,-0.5334731
-0.5445464,-0.5447167
-0.54808015,-0.5476079
-0.55257756,-0.56559765
-0.6312826,-0.5472866
-0.55450505,-0.5826236
-0.6624434,-0.5260844
-0.58084714,-0.55628145
-0.6608371,-0.558209
-0.63481635,-0.5460016
-0.61618406,-0.58165985
-0.67689943,-0.55563897
-0.5956244,-0.57266504
-0.70998764,-0.5476079
-0.62003905,-0.57394993
-0.6984228,-0.5354005
-0.7061327,-0.55082035
-0.6560185,-0.5906547
-0.7385785,-0.5283332
-0.63738626,-0.5954734
-0.7106302,-0.54439545
-0.6810756,-0.5447167
-0.67882687,-0.5835873
-0.6948891,-0.5450379
-0.6576247,-0.57073754
-0.71577007,-0.539898
-0.6547335,-0.5742712
-0.6997078,-0.55371153
-0.6797906,-0.5585302
-0.6534485,-0.5832661
-0.69103426,-0.5450379
-0.6319251,-0.58583605
-0.65858847,-0.54150426
-0.6322464,-0.53604305
-0.6271064,-0.55306906
-0.6184328,-0.53186685
-0.59658813,-0.5408617
-0.6303189,-0.524157
-0.57474345,-0.5354005
-0.62036026,-0.524157
-0.5946607,-0.53186685
-0.57377976,-0.5350793
-0.6193965,-0.51869583
-0.54518896,-0.53797054
-0.57667094,-0.5222295
-0.55065006,-0.5077735
-0.5500076,-0.4965299
-0.542619,-0.49267498
-0.52687794,-0.48528633
-0.54165524,-0.49171123
-0.4908985,-0.49556616
-0.53683656,-0.48400137
-0.47997618,-0.5052035
-0.50824577,-0.4737215
-0.5008571,-0.47050905
-0.48029742,-0.48400137
-0.5149919,-0.45412555
-0.45620403,-0.46119297
-0.50888824,-0.4653691
-0.4545978,-0.46312043
-0.46680513,-0.4509131
-0.44688794,-0.44545195
-0.41765463,-0.42778346
-0.46295017,-0.41653988
-0.42118832,-0.43067464
-0.43789306,-0.4104362
-0.41990334,-0.42007357
-0.42343703,-0.4104362
-0.39645246,-0.40433258
-0.41219345,-0.4017626
-0.39291874,-0.38730657
-0.37300158,-0.391804
-0.40351984,-0.35357583
-0.35918802,-0.37831172
-0.39067003,-0.3519696
-0.37107408,-0.33911982
-0.38071144,-0.35710952
-0.39998615,-0.3147052
-0.39099127,-0.35453957
-0.39934364,-0.33815607
-0.38360265,-0.33173117
-0.39291874,-0.33558613
-0.3887426,-0.31952387
-0.3845664,-0.3343011
-0.38745758,-0.30635282
-0.39870116,-0.32851872
-0.36625543,-0.33365864
-0.39548874,-0.31438392
-0.39966488,-0.34458095
-0.37685648,-0.3339799
-0.42568576,-0.32659125
-0.39548874,-0.35646707
-0.4112297,-0.34650844
-0.42568576,-0.34168977
-0.40930226,-0.35004213
-0.44431797,-0.33301616
-0.4166909,-0.35100588
-0.42215204,-0.35132712
-0.43564433,-0.33076742
-0.43564433,-0.3555033
-0.46391392,-0.34361723
-0.4501004,-0.35293335
-0.49025604,-0.35518205
-0.4623077,-0.3461872
-0.47194505,-0.37413552
-0.47997618,-0.3397623
-0.45363408,-0.34490222
-0.48961353,-0.34072605
-0.4288982,-0.3426535
